Date,Notes_opinion,Experience,Reputation
2014-06,ponctualité,4.3,3.6
2014-08,ponctualité,4.4,3.7
2014-09,ponctualité,4.4,4.0
2014-07,innovation,5.4,5.1
2015-01,innovation,5.5,5.2
2014-06,prix,4.4,4.0
2015-01,prix,4.6,4.0
2015-02,ponctualité,4.2,3.8
2015-04,ponctualité,4.8,4.0
2015-10,ponctualité,4.9,3.9
2015-12,ponctualité,4.4,4.1
2015-02,innovation,5.3,5.2
2015-05,innovation,5.5,5.4
2015-11,innovation,5.7,5.7
2015-06,globale,6.1,5.4
2015-10,globale,6.0,5.3
2015-03,prix,4.7,4.0
2016-10,ponctualité,4.2,3.8
2016-10,innovation,5.3,5.1
2017-03,innovation,6.1,5.7
2017-07,innovation,5.9,5.7
2017-01,innovation,5.6,5.4
2017-05,globale,6.4,5.3
2017-11,globale,6.2,5.2
2017-03,prix,5.1,4.2
2017-08,prix,4.9,4.2
2017-10,prix,4.4,4.2
2016-02,ponctualité,4.6,4.1
2016-04,ponctualité,4.6,4.1
2016-06,ponctualité,4.4,4.1
2016-06,innovation,5.4,5.3
2016-09,innovation,5.4,5.3
2016-03,globale,5.6,5.2
2016-05,globale,5.9,5.2
2016-10,globale,5.7,5.1
2015-12,prix,4.6,4.4
2016-03,prix,4.6,4.2
2017-12,innovation,5.3,4.8
2017-11,innovation,5.6,5.3
2017-11,prix,4.8,4.1
2014-10,ponctualité,4.4,3.8
2014-07,ponctualité,4.4,3.5
2014-10,innovation,5.4,5.2
2014-07,globale,5.9,4.9
2014-08,globale,6.0,5.1
2014-08,prix,4.6,4.3
2015-11,ponctualité,4.9,4.2
2016-03,ponctualité,4.2,4.0
2016-03,innovation,5.3,5.1
2016-04,innovation,5.2,5.2
2015-12,globale,5.8,5.3
2016-01,globale,6.1,5.3
2015-11,prix,4.7,4.5
2016-07,prix,4.5,4.3
2016-01,prix,5.0,4.4
2015-09,ponctualité,,
2014-12,ponctualité,4.2,3.8
2015-03,ponctualité,4.7,3.9
2015-05,ponctualité,4.7,4.2
2014-11,ponctualité,4.3,3.8
2015-03,innovation,5.6,5.4
2015-08,innovation,5.4,5.2
2014-12,globale,5.9,5.3
2015-02,prix,4.5,4.1
2015-04,prix,4.9,4.0
2015-06,prix,4.5,4.2
2017-07,ponctualité,4.6,3.9
2016-09,ponctualité,4.5,3.8
2016-11,innovation,5.6,5.3
2017-02,globale,6.0,5.3
2017-07,globale,6.0,5.3
2017-01,globale,5.9,5.3
2016-12,globale,5.7,5.2
2017-04,prix,4.7,4.2
2017-07,prix,4.9,4.2
2017-01,prix,4.7,4.2
2017-09,innovation,5.8,5.2
2017-10,innovation,5.8,5.4
2015-08,ponctualité,4.5,3.8
2016-11,ponctualité,4.5,3.9
2016-01,ponctualité,5.0,4.2
2017-01,ponctualité,4.7,3.8
2016-05,innovation,5.8,5.1
2015-12,innovation,5.6,5.5
2016-06,globale,5.3,4.8
2016-11,globale,6.0,5.3
2016-08,prix,4.7,4.3
2016-10,prix,4.6,4.2
2017-02,ponctualité,4.7,4.0
2017-03,ponctualité,5.0,3.9
2017-04,ponctualité,4.5,3.8
2017-08,ponctualité,4.7,3.6
2017-10,ponctualité,4.4,4.0
2017-05,innovation,6.1,5.3
2017-04,innovation,5.8,5.5
2017-04,globale,5.8,5.4
2017-10,globale,6.0,5.5
2017-06,globale,5.9,5.5
2014-05,ponctualité,4.5,4.1
2014-09,innovation,5.6,5.2
2014-06,innovation,5.2,5.1
2015-06,innovation,5.5,5.2
2014-11,innovation,5.3,5.2
2014-04,globale,6.4,5.3
2014-09,globale,6.1,5.4
2015-05,globale,6.0,5.4
2016-05,ponctualité,5.1,3.8
2016-07,ponctualité,4.2,3.8
2016-07,innovation,5.4,5.3
2016-01,innovation,5.8,5.5
2015-08,globale,5.9,5.4
2016-07,globale,5.7,5.1
2016-04,globale,5.7,5.2
2016-08,globale,6.2,5.3
2016-02,prix,4.6,4.3
2015-09,innovation,,
2016-08,ponctualité,4.9,3.9
2017-06,ponctualité,4.6,4.1
2016-08,innovation,5.6,5.2
2017-02,innovation,5.8,5.4
2017-03,globale,6.2,5.4
2017-08,globale,6.1,5.1
2016-09,prix,4.6,4.2
2017-02,prix,4.9,4.2
2017-05,prix,5.2,4.3
2017-06,prix,4.8,4.4
2015-06,ponctualité,4.7,3.9
2015-01,ponctualité,4.7,3.8
2014-12,innovation,5.3,4.8
2015-07,innovation,5.6,5.4
2015-03,globale,5.9,5.3
2015-02,globale,6.0,5.4
2015-07,globale,6.1,5.5
2015-01,globale,6.1,5.4
2015-07,prix,4.7,4.3
2014-12,prix,4.4,4.1
2017-12,ponctualité,4.3,3.3
2017-11,ponctualité,4.7,3.7
2017-09,globale,6.1,5.3
2017-12,globale,5.7,4.8
2014-04,innovation,5.8,5.3
2014-05,innovation,5.4,5.4
2014-06,globale,5.7,4.9
2014-10,globale,6.1,5.3
2014-11,globale,5.8,5.2
2014-04,prix,4.9,4.0
2014-05,prix,4.5,4.1
2014-10,prix,4.6,4.1
2014-07,prix,4.6,3.9
2014-08,innovation,5.2,5.1
2015-04,innovation,5.3,5.2
2015-04,globale,5.9,5.3
2014-05,globale,6.0,5.6
2014-09,prix,4.6,4.3
2015-05,prix,4.8,4.4
2015-08,prix,4.6,4.1
2014-11,prix,4.3,4.0
2015-09,globale,,
2015-09,prix,,
2016-12,ponctualité,4.3,3.8
2017-05,ponctualité,4.9,4.0
2015-07,ponctualité,4.6,4.1
2017-09,ponctualité,5.0,3.8
2016-12,innovation,5.4,5.3
2017-06,innovation,5.8,6.0
2017-08,innovation,5.7,5.3
2016-12,prix,4.5,4.1
2017-09,prix,5.1,4.1
2017-12,prix,4.5,3.8
2015-10,innovation,5.5,5.4
2016-02,innovation,5.5,5.2
2016-02,globale,5.6,5.5
2016-09,globale,5.8,5.2
2015-11,globale,5.9,5.5
2015-10,prix,4.9,4.3
2016-04,prix,4.7,4.3
2016-05,prix,5.1,4.2
2016-11,prix,5.0,4.3
2016-06,prix,4.3,4.3
2014-04,ponctualité,4.9,3.7
